"Type","Title","Director","Cast","Country","Date_added","Release_year","Rating","Duration","Listed_in","Age","IMDb","Rotten.Tomatoes","Netflix","Hulu","Prime.Video","Disney","Rating_category","Age_years","Cross_platform_score","Overall_score"
"TV Show","Blood & Water","","Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng","South Africa","September 24, 2021",2021,"TV-MA","2 Seasons","International TV Shows, TV Dramas, TV Mysteries","18+","6.4/10","56/100",1,0,0,0,"High",3,0.25,0.6
"TV Show","Dear White People","","Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito","United States","September 22, 2021",2021,"TV-MA","4 Seasons","TV Comedies, TV Dramas","18+","6.2/10","66/100",1,1,0,0,"High",3,0.5,0.64
"TV Show","Resurrection: Ertugrul","","Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı","Turkey","September 22, 2021",2018,"TV-14","5 Seasons","International TV Shows, TV Action & Adventure, TV Dramas","16+","8.0/10","73/100",1,0,0,0,"Medium",6,0.25,0.765
"TV Show","Love on the Spectrum","","Brooke Satchwell","Australia","September 21, 2021",2021,"TV-14","2 Seasons","Docuseries, International TV Shows, Reality TV","all","8.5/10","59/100",1,0,0,0,"Medium",3,0.25,0.72
"TV Show","Sex Education","","Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie","United Kingdom","September 17, 2021",2020,"TV-MA","3 Seasons","British TV Shows, International TV Shows, TV Comedies","18+","8.3/10","84/100",1,0,0,0,"High",4,0.25,0.835
"TV Show","Chhota Bheem","","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil","India","September 16, 2021",2021,"TV-Y7","3 Seasons","Kids' TV","","4.3/10","27/100",1,0,0,0,"Low",3,0.25,0.35
"Movie","Safe House","Daniel Espinosa","Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan","September 16, 2021",2012,"R","115 min","Action & Adventure","18+","6.4/10","51/100",0,0,1,0,"High",12,0.25,0.575
"TV Show","Castle and Castle","","Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi","Nigeria","September 15, 2021",2021,"TV-MA","2 Seasons","International TV Shows, TV Dramas","","8.6/10","45/100",1,0,0,0,"High",3,0.25,0.655
"TV Show","Dharmakshetra","","Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai","India","September 15, 2021",2014,"TV-PG","1 Season","International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","","8.1/10","45/100",0,0,1,0,"Low",10,0.25,0.63
"TV Show","Numberblocks","","Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher","United Kingdom","September 15, 2021",2021,"TV-Y","6 Seasons","Kids' TV","all","8.1/10","45/100",1,0,0,0,"Low",3,0.25,0.63
"TV Show","Saved by the Bell","","Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins","United States","September 15, 2021",1994,"TV-PG","9 Seasons","Kids' TV, TV Comedies","all","7.0/10","64/100",0,1,0,0,"Low",30,0.25,0.67
"TV Show","Jack Whitehall: Travels with My Father","","Jack Whitehall, Michael Whitehall","United Kingdom","September 14, 2021",2021,"TV-MA","5 Seasons","British TV Shows, Docuseries, International TV Shows","18+","7.7/10","57/100",1,0,0,0,"High",3,0.25,0.67
"TV Show","The World's Most Amazing Vacation Rentals","","","","September 14, 2021",2021,"TV-PG","2 Seasons","Reality TV","","6.6/10","57/100",1,0,0,0,"Low",3,0.25,0.615
"TV Show","Lucifer","","Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis","United States","September 10, 2021",2021,"TV-14","6 Seasons","Crime TV Shows, TV Comedies, TV Dramas","16+","8.1/10","90/100",1,0,0,0,"Medium",3,0.25,0.855
"Movie","Prey","Thomas Sieben","David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach","","September 10, 2021",2021,"TV-MA","87 min","International Movies, Thrillers","","7.2/10","55/100",0,1,0,0,"High",3,0.25,0.635
"TV Show","Titipo Titipo","","Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun","","September 10, 2021",2019,"TV-Y","2 Seasons","Kids' TV, Korean TV Shows","","","13/100",0,0,1,0,"Low",5,0.25,NA
"TV Show","Into the Night","","Pauline Etienne, Laurent Capelluto, Stefano Cassetti, Mehmet Kurtuluş, Babetida Sadjo, Jan Bijvoet, Ksawery Szlenkier, Vincent Londez, Regina Bikkinina, Alba Gaïa Kraghede Bellugi, Nabil Mallat","Belgium","September 8, 2021",2021,"TV-MA","2 Seasons","International TV Shows, TV Dramas, TV Mysteries","18+","7.1/10","74/100",1,0,0,0,"High",3,0.25,0.725
"TV Show","The Circle","","Michelle Buteau","United States, United Kingdom","September 8, 2021",2021,"TV-MA","3 Seasons","Reality TV","18+","7.3/10","70/100",1,0,1,0,"High",3,0.5,0.715
