"Title","Age","IMDb","Rotten.Tomatoes","Netflix","Hulu","Prime.Video","Disney."
"Breaking Bad","18+","9.4/10","100/100",1,0,0,0
"Stranger Things","16+","8.7/10","96/100",1,0,0,0
"Attack on Titan","18+","9.0/10","95/100",1,1,0,0
"Better Call Saul","18+","8.8/10","94/100",1,0,0,0
"Dark","16+","8.8/10","93/100",1,0,0,0
"Avatar: The Last Airbender","7+","9.3/10","93/100",1,0,1,0
"Peaky Blinders","18+","8.8/10","93/100",1,0,0,0
"The Walking Dead","18+","8.2/10","93/100",1,0,0,0
"Black Mirror","18+","8.8/10","92/100",1,0,0,0
"The Queen's Gambit","18+","8.6/10","92/100",1,0,0,0
"Mindhunter","18+","8.6/10","90/100",1,0,0,0
"Community","7+","8.5/10","90/100",1,1,1,0
"Narcos","18+","8.8/10","90/100",1,0,0,0
"Shameless","18+","8.5/10","90/100",1,1,1,0
"Money Heist","18+","8.3/10","90/100",1,0,0,0
"Marvel's Daredevil","18+","8.6/10","90/100",1,0,0,0
"Lucifer","16+","8.1/10","90/100",1,0,0,0
"Supernatural","16+","8.4/10","89/100",1,0,0,0
"The Witcher","18+","8.2/10","89/100",1,0,0,0
"Ozark","18+","8.4/10","89/100",1,0,0,0
"The Crown","18+","8.6/10","89/100",1,0,0,0
"Cobra Kai","16+","8.6/10","89/100",1,0,0,0
"The Blacklist","16+","8.0/10","88/100",1,0,0,0
"The Flash","16+","7.6/10","88/100",1,0,0,0
"Outlander","18+","8.4/10","88/100",1,0,0,0
"Fullmetal Alchemist: Brotherhood","16+","9.1/10","88/100",1,1,0,0
"The Good Place","16+","8.2/10","88/100",1,0,0,0
"House of Cards","18+","8.7/10","88/100",1,0,0,0
"Atypical","16+","8.3/10","88/100",1,0,0,0
"Grey's Anatomy","16+","7.5/10","87/100",1,1,0,0
"Arrested Development","16+","8.7/10","87/100",1,1,0,0
"Lupin","18+","7.5/10","87/100",1,0,0,0
"The Umbrella Academy","16+","8.0/10","87/100",1,0,0,0
"Orange Is the New Black","18+","8.0/10","87/100",1,0,0,0
"The Vampire Diaries","16+","7.7/10","86/100",1,0,0,0
"Demon Slayer: Kimetsu no Yaiba","18+","8.7/10","86/100",1,1,0,0
"The Last Dance","16+","9.1/10","86/100",1,0,0,0
"American Horror Story","18+","8.0/10","86/100",1,1,1,0
"Elite","18+","7.5/10","86/100",1,0,0,0
"BoJack Horseman","18+","8.7/10","86/100",1,0,0,0
"Star Trek: The Next Generation","7+","8.6/10","86/100",1,1,1,0
"Broadchurch","18+","8.4/10","86/100",1,0,0,0
"The IT Crowd","16+","8.5/10","86/100",1,0,0,0
"When They See Us","18+","8.9/10","86/100",1,0,0,0
"Love, Death & Robots","18+","8.5/10","86/100",1,0,0,0
"Schitt's Creek","16+","8.5/10","86/100",1,0,0,0
"Marvel's Agents of S.H.I.E.L.D.","16+","7.5/10","86/100",1,0,0,0
"Never Have I Ever","16+","7.9/10","86/100",1,0,0,0
"The 100","16+","7.6/10","86/100",1,0,0,0
"American Crime Story","18+","8.4/10","85/100",1,0,0,0
"The Last Kingdom","18+","8.4/10","85/100",1,0,0,0
"The End of the F***ing World","18+","8.1/10","85/100",1,0,0,0
"New Girl","16+","7.7/10","85/100",1,0,0,0
"Penny Dreadful","18+","8.2/10","85/100",1,0,1,0
"One Piece","7+","8.8/10","85/100",1,1,0,0
"Marvel's The Punisher","18+","8.5/10","85/100",1,0,0,0
"Evil","18+","7.7/10","85/100",1,0,0,0
"YOU","18+","7.7/10","85/100",1,0,0,0
"Sense8","18+","8.3/10","84/100",1,0,0,0
"Making a Murderer","16+","8.6/10","84/100",1,0,0,0
"Unbelievable","18+","8.4/10","84/100",1,0,0,0
"Arrow","16+","7.5/10","84/100",1,0,0,0
"Sex Education","18+","8.3/10","84/100",1,0,0,0
"Marvel's Jessica Jones","18+","7.9/10","84/100",1,0,0,0
"Sweet Tooth","16+","7.9/10","84/100",1,0,0,0
"Good Girls","16+","7.8/10","84/100",1,1,0,0
"Death Note","16+","9.0/10","84/100",1,1,0,0
"Gilmore Girls","16+","8.1/10","84/100",1,0,0,0
"The Legend of Korra","7+","8.4/10","83/100",1,0,0,0
"How to Get Away with Murder","16+","8.1/10","83/100",1,1,0,0
"Master of None","18+","8.3/10","83/100",1,0,0,0
"Chappelle's Show","18+","8.7/10","83/100",1,0,0,0
"One-Punch Man","7+","8.8/10","83/100",1,1,0,0
"Downton Abbey","16+","8.7/10","83/100",1,0,1,0
"Gotham","16+","7.8/10","83/100",1,0,0,0
"Pose","18+","8.6/10","83/100",1,0,0,0
